Year,Country,Associated Dis,Dis Mag Value,Latitude,Longitude,Total Deaths
1989,Mexico,,7.0,16.773,-99.328,3.0
1989,Malawi,,6.0,-13.45,34.29,9.0
1990,Indonesia,"Slide (land, mud, snow, rock)",6.0,3.908,97.457,1.0
1990,Iran (Islamic Republic of),"Slide (land, mud, snow, rock)",7.0,36.961,49.414,40000.0
1990,Philippines (the),"Slide (land, mud, snow, rock)",8.0,15.658,121.227,2412.0
1990,Philippines (the),Tsunami/Tidal wave,7.0,9.725,124.625,1.0
1990,Peru,Volcanic activity,7.0,-6.016,-77.229,200.0
1990,Greece,,6.0,40.9,22.5,1.0
1990,Indonesia,,8.0,1.186,122.857,5.0
1990,Iran (Islamic Republic of),,7.0,28.251,55.462,21.0
1990,Italy,,5.0,40.38,15.48,2.0
1990,Italy,,5.0,37.3,15.438,19.0
1990,Pakistan,,7.0,35.121,70.486,11.0
1990,Pakistan,,6.0,28.925,66.331,11.0
1990,Philippines (the),,7.0,11.76,121.899,4.0
1990,Romania,,7.0,45.841,26.668,9.0
1991,Panama,Flood,7.0,9.685,-83.073,30.0
1991,Georgia,"Slide (land, mud, snow, rock)",6.0,42.8,44.0,8.0
1991,Guatemala,"Slide (land, mud, snow, rock)",5.0,14.646,-90.986,14.0
1991,India,"Slide (land, mud, snow, rock)",6.0,30.78,78.774,1500.0
1991,Peru,"Slide (land, mud, snow, rock)",5.0,-15.679,-71.274,11.0
1991,Indonesia,,7.0,-8.099,125.681,28.0
1991,Iraq,,6.0,36.12,44.01,20.0
1991,Pakistan,,6.0,38.993,70.423,300.0
1991,Peru,,7.0,-5.982,-77.094,53.0
1992,Georgia,"Slide (land, mud, snow, rock)",7.0,42.503,45.073,1.0
1992,Iran (Islamic Republic of),"Slide (land, mud, snow, rock)",5.0,31.726,50.778,5.0
1992,Kyrgyzstan,"Slide (land, mud, snow, rock)",8.0,42.142,73.575,54.0
1992,Indonesia,Tsunami/Tidal wave,8.0,-8.482,121.93,2500.0
1992,Nicaragua,Tsunami/Tidal wave,7.0,11.742,-87.34,179.0
1992,Kyrgyzstan,,7.0,42.01,74.01,4.0
1992,Pakistan,,6.0,29.3,66.7,4.0
1992,Pakistan,,6.0,33.377,71.317,36.0
1993,Japan,Fire,8.0,42.851,139.197,239.0
1993,Japan,"Slide (land, mud, snow, rock)",8.0,43.3,143.691,2.0
1993,Peru,"Slide (land, mud, snow, rock)",6.0,-11.652,-76.53,6.0
1993,Papua New Guinea,"Slide (land, mud, snow, rock)",7.0,-5.889,146.202,53.0
